,Concimi minerali semplici,Meso e micro,Concimi minerali compositi,Concimi organici,Concimi organo-minerali,Fitosanitari,Mais ceroso,Loietto,Erba Medica,Prati permanenti,Altri erbai monofiti
Piemonte,84585,355,71397,19770,19471,506197,20752,27023,24344,53033,9251
Liguria,1954,186,1533,2837,4453,110585,21,35,785,9095,22
Lombardia,227336,995,68504,24422,54306,1508954,189995,31729,74715,92506,47230
Trentino Alto Adige / SÃ¼dtirol,4285,688,6522,6059,2196,231557,2618,236,232,81217,97
Veneto,156946,2332,69432,53094,67192,3122601,33392,3609,23306,49404,2637
Friuli-Venezia Giulia,40129,177,24152,7984,7046,99132,7150,1272,21195,26987,1102
Emilia-Romagna,214650,1187,59556,93101,43392,1610642,45735,4709,258278,63140,6804
Abruzzo,21923,541,13687,93101,7404,142428,704,6,24045,19968,2016
Molise,10483,6,2853,284,1436,50660,1700,60,9800,38000,550
Campania,47475,486,27150,7730,10306,4047939,17829,3534,24333,21112,12865
Puglia,77835,3079,45912,19173,16751,970341,2445,585,2649,4780,19595
Basilicata,4015,223,2196,1785,2173,394046,691,720,4903,9320,4490
Calabria,27603,240,17889,5518,7570,178446,2285,1130,5780,27027,1404
Sicilia,42446,3499,44873,27378,18788,3441391,570,7364,3830,147708,18548
Sardegna,13770,255,14710,1044,3957,181232,7541,4429,13190,53540,130689
Centro,146611,1056,73127,53094,56191,3351788,33994,8187,229659,167967,8900
Bolzano,3270,224,3430,2930,365,95468,1530,130,130,61217,50
Trento,1016,464,3092,3129,1831,136089,1088,106,102,20000,47